"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Järfälla","Barkarbystaden",17.869981527,59.41553887,"1","32",false,false,false,false,"7037","2024-12-18","Hyresrätt"
"Stockholm","Vårberg",17.881052,59.273052,"2","46",true,true,true,false,"8744","2024-12-18","Ungdomslägenhet"
"Järfälla","Barkarbystaden",17.869906425,59.415855486,"1","27",false,false,false,false,"13930","2024-12-18","Studentlägenhet"
"Stockholm","Vårberg",17.880651,59.27339,"3","74",true,true,true,false,"8744","2024-12-18","Ungdomslägenhet"
"Stockholm","Råcksta",17.888284922,59.354743001,"1","32",false,true,true,false,"6362","2024-12-18","UngdomKorttid"
"Järfälla","Barkarbystaden",17.864424448,59.408750972,"2","42",false,true,false,false,"12376","2024-12-18","Hyresrätt"
"Stockholm","Södra Hammarbyhamnen",18.09121646,59.303261654,"1","23",false,true,false,false,"10823","2024-12-18","Hyresrätt"
"Stockholm","Bredäng",17.931772072,59.295599064,"2","61",false,true,true,false,"3689","2024-12-18","Ungdomslägenhet"
"Täby","Hägerneholm",18.119319677,59.469637145,"3","83",true,false,false,false,"7815","2024-12-18","Hyresrätt"
"Järfälla","Söderhöjden",17.846513566,59.416395635,"3","65",true,true,false,false,"7873","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.847023337,59.416962332,"3","72",true,false,false,false,"7936","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.845813086,59.413829561,"2","63",true,false,false,false,"7880","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.846344247,59.416802344,"2","61",true,true,false,false,"7798","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.846344247,59.416802344,"2","57",true,true,false,false,"7546","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.846407094,59.416675653,"2","53",false,true,false,false,"7938","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.846407094,59.416675653,"1","31",true,true,false,false,"3870","2024-12-18","Korttidskontrakt"
"Järfälla","Söderhöjden",17.848734252,59.416118467,"1","39",false,false,false,false,"10056","2024-12-18","Korttidskontrakt"
